tweet_id	reply_id
1039238453794414592	1039240098565505025|
1039238631507075072	1039238959220633600|
1039238636263362561	1039241172655386626|
1039238650301698049	1039240008585150467|
1039238678361645056	1039238680257458177|
1039238680257458177	1039238682975330306|
1039239013524230145	1039239462121889792|
1039239173834792961	1039239606024265728|
1039239242906513408	1039239971838808066|
1039239395419869184	1039239396980142080|
1039239400364888064	1039239404274032640|
1039239750190878730	1039241971276148736|
1039240341134618624	1039265007756824577|
1039240371589603330	1039262499462422529|
1039240468645793792	1039242985098108930|
1039240943050862594	1039246306454265856|
1039240992187183104	1039242076867768320|
1039241424875610112	1039247289326350338|
1039241543524212738	1039246303589556224|
1039241688433209345	1039404081599660033|
1039242683145957376	1039243543636856836|
1039242792843665408	1039243222416084992|
1039242859688468480	1039358497555501056|
1039243013095129090	1039462826170036224|
1039243743742844929	1039244203254050818|
1039244177064779788	1039247068584390656|
1039244490995916800	1039245061249294336|
1039244844768677891	1039245227414958083|
1039245582173384706	1039304054130843649|
1039245584258002946	1039245588146073600|
1039246454492082178	1039250736490655745|
1039246540185853952	1039249950226374656|
1039246720297840640	1039246893518336000|
1039246834756014080	1039841541290741762|
1039247410021642245	1039253443268018184|
1039247790914916353	1039350793747484672|
1039247791032295424	1039248970340544514|
1039248341819957248	1039309666260406275|
1039248781672439813	1039270149155479553|
1039249034639278080	1039250326270959618|
1039249686962626565	1039255671953403905|
1039250794388840448	1039957815245328386|
1039250966699286528	1039252359715729409|
1039251164334837762	1039371560661012480|
1039251174782918661	1039374739037409280|
1039251582788018178	1039259349636599809|
1039251772743794690	1039258587351207938|
1039251821582340097	1039270048488202241|
1039251897616543744	1039252436723159041|
1039252246905737216	1039406522562953217|
1039252397040709633	1039256185495408640|
1039252436723159041	1039254905834299393|
1039253105630765056	1039310003155476481|
1039253244537708544	1039313341980848128|
1039253535701884929	1039257297266995201|
1039253572628692992	1039468308934938625|
1039253602810961923	1039297575973801985|
1039254047906308097	1039254049147834368|
1039255756426465280	1039350648419045377|
1039256103572267008	1039282658168262656|
1039256185495408640	1039257690436825089|
1039256852008259584	1039277760311635969|
1039257229201817600	1039296250380791808|
1039257915218178048	1039467070642180101|
1039258537904431104	1039564783241052160|
1039258541062868992	1039282924712087552|
1039258740145446917	1039266200256163841|
1039258911365259264	1039266453743124480|
1039259340685889541	1039259828789669891|
1039259564108132352	1039280054893768705|
1039260002651983878	1039261797763694592|
1039260171959234560	1039260948681371649|
1039260297150832640	1039263996426289152|
1039260449651314688	1039283639794786306|
1039260593109254150	1039272862409007105|
1039260625619353600	1039261618377555969|
1039260837427511297	1039284914259148800|
1039260948681371649	1039261930102448128|
1039261109281120256	1039822562094657537|
1039261353314119680	1039261881532342274|
1039261399585828870	1039265669928378369|
1039261879292452864	1039667674735943680|
1039261958405414912	1039264684715593728|
1039263065068449794	1040107048304697344|
1039263381759434752	1039267047262367744|
1039263468149518339	1039269387474280450|
1039263476781408263	1039263700669145089|
1039264148859830275	1039282758957379586|
1039264652235087874	1039265309285175297|
1039264870036922368	1039265777453555712|
1039266899585105920	1039268051693305856|
1039266975191580675	1039268469353668608|
1039267084302213120	1039566136948547589|
1039267449894526976	1039319375042490370|
1039267796599889921	1039271988454457347|
1039268296237953025	1039276933052354560|
1039268492820672512	1039306200725291009|
1039268545715027968	1039269622787129344|
1039268744952860672	1039329116804341760|
1039268777018515456	1039270471349547019|
1039269745940459524	1039270169699344384|
1039270013390077953	1039277067567677447|
1039270048488202241	1039270255917522945|
1039270603793084416	1039271208733364224|
1039270837608767491	1039271253721276416|
1039270921209606145	1039271299577667584|
1039271116995473411	1039275921872773121|
1039271139854442496	1039275474474729473|
1039271327645884417	1039273462651449345|
1039271424983101441	1039357157127249921|
1039271742227636224	1039290885572194305|
1039271905763635200	1039273662631702529|
1039272050735505409	1039477393898065922|
1039272123037085697	1039350281652326400|
1039272143429808128	1039287774954881024|
1039272186677276672	1039275460365099008|
1039272226988744705	1039308620771602432|
1039272355166670849	1039323575096934401|
1039272979354583041	1039296364327387138|
1039273120148930561	1039273860150030337|
1039273392380289026	1039277466357919744|
1039274065767395328	1039563094975029253|
1039274557029457920	1039275086824591360|
1039275397890928640	1039283189766868992|
1039275428920406016	1039277251899138048|
1039275516254023680	1039286936530124800|
1039275683069997056	1039276281228156930|
1039275868550586369	1039764374720835585|
1039276084926341120	1039278022766063619|
1039276116429561856	1039323404527005697|
1039276333526904832	1039277815701688320|
1039276772712476673	1039284542224429056|
1039277466357919744	1039720018424942592|
1039277599254568960	1039277909696032773|
1039277606640734220	1039428352568844288|
1039277623824801793	1039284190003556352|
1039277760311635969	1039424071321178112|
1039277822408314882	1039620079065985030|
1039278203909668866	1039278581669666816|
1039278235027218433	1039287073578991616|
1039278330112028672	1039278632777146368|
1039278447158280192	1039387786292420610|
1039278453906989056	1039282095896571904|
1039278762435792896	1039297154378948609|
1039278859823263748	1039283901624188928|
1039278928613896192	1039280575981514753|
1039279051456831489	1039284206856286208|
1039279249868242944	1039285945114259456|
1039279707685113856	1039281061858091010|
1039279903366098945	1039280954051895296|
1039279959603335168	1039281972940435456|
1039281357111914496	1039286284244721665|
1039281956079509504	1039314666105655296|
1039282692552970240	1039283331173515264|
1039282930475065345	1039287261563629568|
1039283130316804097	1039283889448075264|
1039283261875408899	1039283656278376453|
1039283314132176897	1039287830441324545|
1039283405576462338	1039285281365606400|
1039283802470678529	1039284481159512064|
1039283973740933121	1039286389802770435|
1039284088316801024	1039296671123992576|
1039284403074211840	1039291698390749186|
1039284764677529600	1039297424567816198|
1039285556654604290	1039286288426393600|
1039285706689003521	1039309622895685632|
1039285867779510272	1039298931371532289|
1039285911996035074	1039286924383531013|
1039286190883528704	1039286776530124800|
1039286442646597632	1039287647225700353|
1039286568635097088	1039286574691708928|
1039286842028380166	1039287277200060416|
1039287219440123904	1039575146594414593|
1039288223300763654	1039387035486838784|
1039288546702630912	1039549765808254976|
1039289278604312576	1039305199540682752|
1039289707191042048	1039291382412783622|
1039290475327311872	1040243626364743680|
1039290566180200450	1039293899552874497|
1039290669821382661	1039342906199494656|
1039290895206686720	1039295581280264192|
1039290925065756674	1039293411512086528|
1039291185850855425	1039383001317105664|
1039291235691839488	1039291955002396672|
1039291239785549824	1039291724831567872|
1039291326720823296	1039299682432897024|
1039291334069182464	1039478256649437184|
1039291341799415808	1039295602784460801|
1039292364546875398	1039292877938012161|
1039292401892945921	1039295028663910403|
1039292485170876416	1039444255935213570|
1039292862351990784	1039293573299150848|
1039293232885243904	1039295340719951872|
1039293769689034757	1039295041003507713|
1039293985783771136	1040280734114562049|
1039293989189562369	1039303046612713472|
1039294372947341314	1039305352204955651|
1039294758990929920	1039307382218735616|
1039294764871495680	1039295119969542144|
1039294785910124544	1039371367085428736|
1039295231877832704	1039295801283862528|
1039295351147048960	1039296294781562880|
1039295658639941634	1039296518866526209|
1039295799467945984	1039476022981402627|
1039296294781562880	1039296935557918721|
1039296436809154563	1039468479202635777|
1039296515544637445	1039304589076512768|
1039296537132580864	1039297153825366016|
1039296569051435009	1039296873021022210|
1039297038876377088	1039345941281759235|
1039297094752845825	1039303100568403968|
1039297147345293313	1039298007072759808|
1039297213862760456	1039299289334206464|
1039297749689282560	1039860317403140097|
1039298026303631361	1039298912295759872|
1039298163042123776	1039298573060530177|
1039298214162325504	1039306991846473728|
1039298257179095041	1039300049111539712|
1039298399680585728	1039329991131979776|
1039298992453107713	1039300232364941312|
1039299048992329728	1039313743916744704|
1039299452006223873	1039301252990083074|
1039299503470215168	1039300548086779906|
1039299758194667521	1039707454538502152|
1039300001019637760	1039300202920910849|
1039300949284741125	1039304813610250240|
1039301046710022144	1039331460061294592|
1039301624697704455	1039309572396085248|
1039302087975362560	1039399179355709440|
1039302462308380673	1039337336360902663|
1039302490464768000	1039325984628006912|
1039302543107485696	1039307466977079296|
1039302823962267650	1039390163061813249|
1039303224292003840	1039305420207259649|
1039303516601413633	1039323089744613376|
1039304115141017600	1039343671429091329|
1039304215955431426	1039305580907769856|
1039304343445487616	1039306118458171392|
1039304421212086274	1039305282604675072|
1039304554951503872	1039313638186729472|
1039304578443833345	1039479441393631232|
1039305036831047680	1039305645093257218|
1039305493280247808	1039309486454755329|
1039305579083313152	1039309195194064897|
1039305767239786497	1039306342861889537|
1039305889512153088	1039309730349543430|
1039306020219232256	1039306414051733504|
1039306301778616320	1039317171258761216|
1039306633707307008	1039414448249810944|
1039306637037559813	1039306865580986368|
1039306662060781568	1039306840499277825|
1039306933382127616	1039393443322114048|
1039306937169534978	1039308465120980992|
1039307151133437952	1039315326721187840|
1039307204925509634	1039506223165566976|
1039307607855521792	1039308766498484225|
1039308016015867905	1039308952910135298|
1039308679013576704	1039316605329727489|
1039308812828606466	1039314132623708160|
1039309379378585600	1039481620863102976|
1039309455584833541	1039309763983691776|
1039309547666464768	1039310207409643521|
1039309551219236869	1043839754670759936|
1039309948797284353	1039324400380772352|
1039310905618575361	1039895706855776256|
1039311095339671552	1039318493966028800|
1039311527935963137	1039315710537883650|
1039311641756819467	1039539545807769600|
1039311673499295745	1039312793072230401|
1039312066048339970	1039333262307422209|
1039312928707682304	1039315766959591424|
1039313900007776257	1039315892616798210|
1039313910950752257	1039314559280926720|
1039314020703055872	1039315578371100673|
1039314765888118784	1039315643932311553|
1039314864366387200	1039330629589127169|
1039315538563018752	1039315799348072450|
1039315629159997441	1039352843071905792|
1039315993338753024	1039318411925311489|
1039316148817293314	1039316153531752450|
1039316417915568134	1039360858206363648|
1039317129399390208	1039320620293611520|
1039317579683254272	1039318744378626055|
1039317618493194240	1039332119162613761|
1039317900987756544	1039319149489647623|
1039319006145069056	1039387343013076994|
1039319017109037056	1039319591464394752|
1039319073870499840	1039330615785672706|
1039319193588457480	1039319461734494208|
1039319267060068352	1039343609596850177|
1039320589582905344	1039320959293878272|
1039320710836092928	1039521056355172354|
1039320844395110402	1039338542848270338|
1039321290304356352	1039337140960804865|
1039321350463217667	1039336193723387908|
1039321366682644480	1039468079674220544|
1039321475667435520	1039534151941189633|
1039321592726253568	1039554152165257216|
1039321888500011008	1039336455456284675|
1039322035699281922	1039326369954418688|
1039322253907742722	1039323681346936832|
1039323665530273793	1039325726154084352|
1039323707838291969	1039334220391489536|
1039323763102429186	1039324943182450688|
1039323900054786049	1039347272792846336|
1039324162085535746	1039325388852420608|
1039324353752694784	1039324676810366976|
1039324927432617985	1039325752112500736|
1039325072178200576	1039886119138209792|
1039325216646877185	1039537569980137472|
1039325367893467142	1039632773001052160|
1039326226832351232	1039327172136235008|
1039326558916235264	1039328590913929216|
1039326593695580160	1039493261835030529|
1039328206292176896	1039330024200040449|
1039328592709275649	1039329767722545152|
1039328606025990144	1039452277688475648|
1039328705498075137	1039330017027784704|
1039329024764518400	1039331170356539393|
1039329421054763008	1039332716465070080|
1039329905480290304	1039332739051384834|
1039330306619330560	1039343858188988417|
1039330361799368704	1039331130107805697|
1039330416866615298	1039334188044955648|
1039330510789595141	1039331183996428289|
1039330823269507072	1039339978902384643|
1039331183996428289	1039483402016182279|
1039331315508826112	1039332443969527808|
1039332434289086465	1039340599156121600|
1039332455365324800	1039340018014146561|
1039332541965189121	1039332678905094144|
1039332746521464832	1039344287312474112|
1039332814389485568	1039574665285566470|
1039332982845317121	1039334020037963776|
1039333157990850560	1039334304143167490|
1039333267529392128	1039334730091520000|
1039333813321641984	1039334470145503240|
1039334371914702848	1039335114772234243|
1039334397768609792	1039488501027360768|
1039334593508323328	1039395648938729472|
1039334636063784963	1039335026641514497|
1039335844451168256	1039336555494735872|
1039335927594795009	1039336133484838913|
1039336088605679616	1039343405162225667|
1039336154162638851	1039337723247517697|
1039336193723387908	1039598838577803264|
1039336777813831680	1039712430664732672|
1039336799397502979	1039337958166257664|
1039337003261685760	1039337752771194880|
1039337353813417985	1039419035967021059|
1039337672194449408	1039338571570786309|
1039337849546571776	1039343960530014208|
1039338542848270338	1039357889809248256|
1039338595767779330	1039344090066894848|
1039339318635057153	1039371288647753728|
1039339441989582849	1039340147957886976|
1039339595945717760	1039344854931841025|
1039339782042603522	1039349725231628288|
1039340044018966529	1039341595986944001|
1039340226542362626	1039342447141089281|
1039340526674292736	1039464398480449537|
1039340599156121600	1039341904478040064|
1039341415803891713	1039341614316052482|
1039341671245176837	1039344438731071488|
1039342134455947264	1039342623209738241|
1039342296314118144	1043890735144206336|
1039342829871480832	1039345383183474688|
1039343725795856385	1039457734159151104|
1039343961972912128	1039346223872966656|
1039344302110003200	1039344585003159552|
1039344401502412800	1039344476236521473|
1039345113066086407	1039345843743219712|
1039345508592975872	1039346474851553280|
1039345595264249856	1039347160653996032|
1039345881877598209	1039346349454573568|
1039346061624664065	1039357501261500417|
1039346379825602561	1039355187700408321|
1039346552077275136	1039346913336877057|
1039346878796578817	1039351745560883205|
1039347310075961344	1039349838041817091|
1039347685302657025	1039539705791098881|
1039348517221748736	1039349117967917057|
1039350985506734080	1039371813061443584|
1039351016297091073	1039429832390541312|
1039352020853899266	1039720318774824960|
1039352434789900288	1039352922352635904|
1039352775455338496	1039366705846218753|
1039353109359812615	1039357252195573762|
1039353339840946176	1039355151868284930|
1039353755295080450	1039354657892528128|
1039353967577202691	1039517460343521280|
1039354719641190402	1039355409373519873|
1039354749747834880	1039355375944839168|
1039354893964902400	1039359300517281793|
1039355354973319168	1039358560335998977|
1039355476754890752	1039355994625593346|
1039355525794881536	1039715985459167234|
1039356204538109952	1039359318393581568|
1039356213635571712	1039357027842187265|
1039356850779697154	1039358100829077504|
1039357629355773952	1039395565799395332|
1039357889809248256	1039519411097546752|
1039358188481662977	1039358668515487744|
1039358344920748032	1039364421078970371|
1039358352357122054	1039360401140404224|
1039358454060658688	1039717846631075840|
1039358916910608384	1039359113455644673|
1039359060108181504	1039367002396258304|
1039359521456410624	1039360017546137600|
1039359657964318720	1039373025920143360|
1039359711265533954	1039364402208591872|
1039359886889570307	1039361610475888641|
1039360180842983425	1039465215740526592|
1039361083214049280	1039361370939121669|
1039362314745462785	1040013997292969984|
1039362764412792834	1039371323259084800|
1039362867252928512	1039390144615329793|
1039364473918828545	1039364514444181504|
1039364685362024448	1039365323718369280|
1039365958467502080	1039440456868941824|
1039366489923436544	1039732417890795520|
1039366561239314432	1039387737638490112|
1039366645486166016	1039424620397518848|
1039366886679556097	1039703943276834819|
1039368640250802176	1039495816061149184|
1039369632707239936	1039371400576827392|
1039370057124638720	1039397355970355200|
1039370084060422144	1039373991188877312|
1039371478410518528	1039384470875463680|
1039372930709377024	1039522562798104578|
1039373255642112000	1039522885776236544|
1039373599478636544	1039463607350652929|
1039375121889128448	1039393135355293696|
1039375136401641472	1039383662826070016|
1039375430032257030	1040224041951473664|
1039375585472966657	1039385948696395776|
1039375736954482689	1039400356722040838|
1039375953154064384	1039849002898927616|
1039376053813305345	1039377049901838337|
1039376688130519040	1039400283934089216|
1039378036393762817	1039380845704953857|
1039381424220950529	1039417530194911232|
1039382123243864065	1039392677916106754|
1039382442702819328	1039882538389569536|
1039383183484223489	1039392933919649793|
1039383921941602304	1039525606512185344|
1039383935430680579	1039798862322393088|
1039385123941228544	1039424235532439552|
1039385522454650882	1039391262023938048|
1039386338930446337	1039450183740735488|
1039386656250376192	1039520448902520833|
1039388637782204416	1039460218034417664|
1039388668534947844	1039390022397558785|
1039390565467443202	1039426358386946048|
1039390671231176705	1039391527645179904|
1039391326897238016	1039392778797502465|
1039392395211620354	1039392862469873666|
1039392776872288258	1039393591204831232|
1039392858057236483	1039398465271291904|
1039393200752881664	1039420553361346560|
1039393422656778242	1040364795562782720|
1039393637560274944	1039395880892157952|
1039393979559641088	1039413202554052608|
1039395555489665024	1039395556529848320|
1039395931316215810	1039398195271413760|
1039397150743044097	1039400658779041792|
1039398110999400448	1039497724113166336|
1039398195271413760	1039399496478642176|
1039398213143482368	1039671935548964870|
1039399496478642176	1039401264885297152|
1039400283934089216	1039454991440904192|
1039401491239497730	1039411086003339264|
1039401960913260544	1039404422978142211|
1039402031637835776	1039557129621958656|
1039402141448720384	1039402395908890624|
1039403149193166848	1039404678000386048|
1039403253451157504	1039424813297623040|
1039404953553448961	1039406849953619968|
1039406327293005824	1039407601614774272|
1039407368969379840	1039410112329220096|
1039408770244337669	1039490699928821760|
1039410112329220096	1039410574982045696|
1039410938049437696	1039491089340792832|
1039410940339515392	1039432361123954689|
1039411231042334721	1039411234490077184|
1039411763882541056	1039411839136722945|
1039411884082905089	1039430009545416704|
1039411951678369793	1039412017797390336|
1039411972750684162	1039413709892935686|
1039412017797390336	1039412090211987457|
1039412354608517120	1039437478699180032|
1039412945774620673	1039425490359083009|
1039413799646900225	1039415785591066625|
1039414514284810241	1039877765254860800|
1039414794732810240	1040142334619344896|
1039415098073378816	1039416272197431296|
1039415705609936897	1039649368566099970|
1039415747544592385	1039449533292470272|
1039416033793204224	1039417193052729344|
1039416118585290753	1039758937946513410|
1039418326328328193	1039505413459324928|
1039418512563875840	1039552186986856448|
1039418989334671360	1039995490195058688|
1039419142724448256	1039782875686612992|
